time_obs,Ex,Ey,Hz,dBzdt
1.0000000000000001e-05,8.9554875386827631e-04,-1.6006014069099689e-21,-2.1976170940370670e-03,4.4778456371746624e-06
1.2500000000000001e-05,8.9590014201337788e-04,5.9889199860203923e-22,-2.1886869916140053e-03,4.4879399959562936e-06
1.5625000000000000e-05,8.9627429607302066e-04,-1.5364059345517920e-22,-2.1775216532164093e-03,4.4910124881342762e-06
1.9531250000000000e-05,8.9663419921619573e-04,1.5861752606596178e-22,-2.1635610117762103e-03,4.4954591042417223e-06
2.4414062500000001e-05,8.9700472011505219e-04,-1.2687607629186993e-22,-2.1461060841260976e-03,4.4919525833607971e-06
3.0517578125000000e-05,8.9734974111720870e-04,1.8629055927952257e-22,-2.1242817401591714e-03,4.4934649039015485e-06
3.8146972656250000e-05,8.9768155278296729e-04,-3.9086247005089913e-23,-2.0969946479637105e-03,4.4942261166847740e-06
4.7683715820312500e-05,8.9799245154436442e-04,-5.8021531004444598e-22,-2.0628778169010679e-03,4.4959861198490971e-06
5.9604644775390625e-05,8.9827738358464740e-04,3.2255268636761199e-22,-2.0202233043032725e-03,4.4975070031094026e-06
7.4505805969238281e-05,8.9849963851348273e-04,1.4956689038063367e-22,-1.9669068685265112e-03,4.4952476756052067e-06
9.3132257461547852e-05,8.9840512356468660e-04,-2.0970918941968536e-22,-1.9003441172671201e-03,4.4832916972201555e-06
1.1641532182693481e-04,8.9710707546736908e-04,8.3389654540762373e-23,-1.8176067662891077e-03,4.4410224696634534e-06
1.4551915228366852e-04,8.9243300843986685e-04,-9.4641724472590800e-23,-1.7159113314909951e-03,4.3298948863752789e-06
1.8189894035458565e-04,8.8055400441607837e-04,1.1812804206977912e-22,-1.5936024106215337e-03,4.1066111460626620e-06
2.2737367544323206e-04,8.5663328042326228e-04,-1.1458995557824289e-22,-1.4513360134359545e-03,3.7464425256764886e-06
2.8421709430404007e-04,8.1652999619307148e-04,1.1316040286334252e-22,-1.2928452602481895e-03,3.2613504979595182e-06
3.5527136788005009e-04,7.5867903201024987e-04,7.5200313785137425e-24,-1.1247173893303060e-03,2.6987896306854675e-06
4.4408920985006262e-04,6.8499959903846992e-04,-3.3303753510994215e-23,-9.5518662062851832e-04,2.1230323793581049e-06
5.5511151231257827e-04,6.0039600634947314e-04,-6.7725968967713552e-24,-7.9244778425762840e-04,1.5920962880308837e-06
6.9388939039072284e-04,5.1126863084101088e-04,-2.1596378772981880e-23,-6.4318805920121440e-04,1.1432205506139823e-06
8.6736173798840355e-04,4.2384633980412849e-04,-2.1650983724791162e-23,-5.1175883638150579e-04,7.9007240869416481e-07
1.0842021724855044e-03,3.4300888551336701e-04,3.7392298811821250e-23,-4.0007863398346653e-04,5.2828200611256924e-07
1.3552527156068805e-03,2.7180092015758261e-04,2.8406314928211544e-24,-3.0802997377917598e-04,3.4347348970713815e-07
1.6940658945086007e-03,2.1151738585358957e-04,1.1978970129413653e-23,-2.3408814596719888e-04,2.1813241232771516e-07
2.1175823681357508e-03,1.6211019959395427e-04,1.7087907057347464e-24,-1.7595363977612624e-04,1.3585742375496213e-07
2.6469779601696886e-03,1.2267007812535950e-04,-3.1482919448852247e-23,-1.3105199536151324e-04,8.3268892273546717e-08
3.3087224502121107e-03,9.1851626529209412e-05,3.9292809566034381e-23,-9.6873412217576661e-05,5.0371332344619360e-08
4.1359030627651384e-03,6.8182350729512617e-05,-3.5699624232653704e-23,-7.1165275593158660e-05,3.0146628220265094e-08
5.1698788284564225e-03,5.0255436708629693e-05,2.5913749129238094e-25,-5.2015005151261663e-05,1.7886304468866204e-08
6.4623485355705286e-03,3.6829263398257086e-05,6.3843698620248639e-24,-3.7861408731848039e-05,1.0537794420969087e-08
8.0779356694631599e-03,2.6864327221616667e-05,-6.6594936614356080e-24,-2.7467075609067198e-05,6.1733384185469118e-09
1.0097419586828950e-02,1.9521795697923710e-05,-1.3374318898286146e-25,-1.9872540051100965e-05,3.6000525049895391e-09
1.2621774483536187e-02,1.4142987657285201e-05,-8.5726547515585373e-25,-1.4346522666117461e-05,2.0917153270464428e-09
1.5777218104420235e-02,1.0221103550093602e-05,5.3345254199166074e-26,-1.0338958995942400e-05,1.2117275538188308e-09
1.9721522630525293e-02,7.3722138610567517e-06,-1.2343915149998355e-24,-7.4403465851617423e-06,7.0028541049764664e-10
2.4651903288156616e-02,5.3089664295953096e-06,4.0478791836267578e-24,-5.3483082499885271e-06,4.0394706046206316e-10
3.0814879110195769e-02,3.8182972806768647e-06,-2.8101517843656869e-24,-3.8409965911790994e-06,2.3265603979710709e-10
3.8518598887744712e-02,2.7433830795833317e-06,6.5758582051854259e-25,-2.7564743993536712e-06,1.3383578638557565e-10
4.8148248609680894e-02,1.9694639489617691e-06,-1.3078185085891367e-24,-1.9770133872210221e-06,7.6916211393030546e-11
5.0000000000000003e-02,1.8619807626099539e-06,8.7881094230435420e-26,-1.8688588802270035e-06,7.0029332508558168e-11
