time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0009260757304458694,1.9023586441520596e-05,nan,4.232915274267248e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0009171461792970266,3.0261204912908846e-05,-0.002196342512007643,4.357164841192045e-06,5,4,32,9.6
1.25e-05,point,0.0,0.0009530845495534616,1.5043047519487705e-05,nan,4.45261818249991e-06,1,32,32,32.0
1.25e-05,disk_average,2.0,0.000945121385966652,2.762808793569918e-05,-0.002185608004384204,4.469610594137442e-06,5,4,32,9.6
1.5625e-05,point,0.0,0.0009692844645195659,1.1676260222848469e-05,nan,4.5794339150798126e-06,1,32,32,32.0
1.5625e-05,disk_average,2.0,0.000962096736414721,2.518918010161029e-05,-0.0021717715530496025,4.538296397845264e-06,5,4,32,9.6
1.953125e-05,point,0.0,0.0009789675742207047,8.459113299650098e-06,nan,4.649748068122299e-06,1,32,32,32.0
1.953125e-05,disk_average,2.0,0.0009724241437389583,2.2646078121861823e-05,-0.0021540045102196154,4.578744016519991e-06,5,4,32,9.6
2.44140625e-05,point,0.0,0.0009846445465337347,5.1381696870131324e-06,nan,4.687089402714926e-06,1,32,32,32.0
2.44140625e-05,disk_average,2.0,0.0009786700702027128,1.9838076293758714e-05,-0.002131393191246621,4.601201655308722e-06,5,4,32,9.6
3.0517578125e-05,point,0.0,0.0009875968754878357,1.49783826857043e-06,nan,4.703866492906731e-06,1,32,32,32.0
3.0517578125e-05,disk_average,2.0,0.000982163867618352,1.660595989769116e-05,-0.0021029299328089,4.61131317004451e-06,5,4,32,9.6
3.814697265625e-05,point,0.0,0.000988320766895913,-2.7463606744728917e-06,nan,4.705517328563586e-06,1,32,32,32.0
3.814697265625e-05,disk_average,2.0,0.0009834347104359011,1.2717124937357095e-05,-0.0020674829336830426,4.611374710064014e-06,5,4,32,9.6
4.76837158203125e-05,point,0.0,0.000986957913461451,-7.966906938776707e-06,nan,4.693886819143092e-06,1,32,32,32.0
4.76837158203125e-05,disk_average,2.0,0.0009826329138528215,7.860842996579766e-06,-0.002023741413471954,4.601654408791979e-06,5,4,32,9.6
5.9604644775390625e-05,point,0.0,0.000983688353087849,-1.4559272745811966e-05,nan,4.6693106117419974e-06,1,32,32,32.0
5.9604644775390625e-05,disk_average,2.0,0.000979920999990193,1.7086429907793422e-06,-0.001970148507209085,4.58129902771078e-06,5,4,32,9.6
7.450580596923828e-05,point,0.0,0.0009789874124035553,-2.2784668069937205e-05,nan,4.630955865087116e-06,1,32,32,32.0
7.450580596923828e-05,disk_average,2.0,0.0009757431626844888,-5.95150518354685e-06,-0.0019048541924379162,4.548230671304021e-06,5,4,32,9.6
9.313225746154785e-05,point,0.0,0.0009735867192379443,-3.249563224182092e-05,nan,4.574561934248701e-06,1,32,32,32.0
