time_obs,Ex,Ey,Hz,dBzdt
1.0000000000000001e-05,8.9546996521940178e-04,-9.7502333858588831e-22,-2.1976168754442547e-03,4.4876352864952249e-06
1.2500000000000001e-05,8.9599157965176621e-04,-6.9201765455937074e-23,-2.1886869849894147e-03,4.4903479764459268e-06
1.5625000000000000e-05,8.9638322613261703e-04,-8.5017719405317571e-22,-2.1775215598005175e-03,4.4914029413633783e-06
1.9531250000000000e-05,8.9660477095631112e-04,-1.9445652496524154e-22,-2.1635611701154747e-03,4.4912541412619306e-06
2.4414062500000001e-05,8.9693588152356266e-04,-3.1587822478769075e-22,-2.1461060971286390e-03,4.4924026319530284e-06
3.0517578125000000e-05,8.9734864018000185e-04,5.1928657371159554e-22,-2.1242816925867080e-03,4.4939212210668107e-06
3.8146972656250000e-05,8.9767630754789430e-04,5.5163915030069036e-23,-2.0969946555806436e-03,4.4950418337378137e-06
4.7683715820312500e-05,8.9804863226132189e-04,-4.9736965345322628e-22,-2.0628778557030517e-03,4.4962453626644282e-06
5.9604644775390625e-05,8.9828300310358840e-04,2.0726116205357935e-22,-2.0202232234895427e-03,4.4966781536501930e-06
7.4505805969238281e-05,8.9845259511115339e-04,-2.3382901031603434e-22,-1.9669068512967545e-03,4.4950477061544745e-06
9.3132257461547852e-05,8.9839766622667148e-04,-1.0713867941750050e-22,-1.9003445548864408e-03,4.4836951959067771e-06
1.1641532182693481e-04,8.9713319030932455e-04,1.7896635511999789e-22,-1.8176061582360088e-03,4.4411558568775582e-06
1.4551915228366852e-04,8.9244174286810048e-04,-1.4499564812169856e-22,-1.7159121775304786e-03,4.3297559627320742e-06
1.8189894035458565e-04,8.8054250692030803e-04,-2.0950355862876186e-24,-1.5936027617315612e-03,4.1065140635859226e-06
2.2737367544323206e-04,8.5662476603759182e-04,-1.6659302485031524e-23,-1.4513371594698221e-03,3.7464795678498986e-06
2.8421709430404007e-04,8.1653282408399724e-04,-5.0154162227694799e-23,-1.2928460960274888e-03,3.2613842681905264e-06
3.5527136788005009e-04,7.5868407792305888e-04,3.9624385334786180e-23,-1.1247199171879369e-03,2.6988062122404523e-06
4.4408920985006262e-04,6.8499979233081678e-04,1.8074621847230063e-23,-9.5518942267951287e-04,2.1230244300317740e-06
5.5511151231257827e-04,6.0039475474425643e-04,-1.0711476785547749e-23,-7.9244988050803300e-04,1.5920990921251839e-06
6.9388939039072284e-04,5.1126813817482146e-04,2.0607710409589188e-23,-6.4318910488154611e-04,1.1432281663206293e-06
8.6736173798840355e-04,4.2384975529686044e-04,-4.1523019202567031e-23,-5.1176417538966866e-04,7.9009567943410074e-07
1.0842021724855044e-03,3.4300934469291350e-04,-1.7028749771705955e-23,-4.0007799551777123e-04,5.2827863674748179e-07
1.3552527156068805e-03,2.7179953911536073e-04,7.1110740291883885e-24,-3.0802811730693225e-04,3.4346798666647013e-07
1.6940658945086007e-03,2.1151703520602631e-04,3.0065594979066582e-23,-2.3408811951230589e-04,2.1813143610681655e-07
2.1175823681357508e-03,1.6211004828661660e-04,2.3971702158811645e-23,-1.7595364026153966e-04,1.3585792348281160e-07
2.6469779601696886e-03,1.2266992116814266e-04,1.3939007134319620e-23,-1.3105168358579542e-04,8.3268848662971821e-08
3.3087224502121107e-03,9.1851717607888204e-05,-6.7932394973490588e-24,-9.6873387845897670e-05,5.0371313871566971e-08
4.1359030627651384e-03,6.8182371681656080e-05,-3.8247664800923108e-25,-7.1165292772553841e-05,3.0146434273584333e-08
5.1698788284564225e-03,5.0255358065961585e-05,3.3220232220470698e-24,-5.2014981822068471e-05,1.7886228524173394e-08
6.4623485355705286e-03,3.6829254375640956e-05,6.3378610690163334e-24,-3.7861424570728877e-05,1.0537853283017399e-08
8.0779356694631599e-03,2.6864345091364876e-05,-4.0194562798794071e-24,-2.7467077801887267e-05,6.1733811380001339e-09
1.0097419586828950e-02,1.9521810364807411e-05,-1.0598319487970552e-23,-1.9872537938579619e-05,3.6000624315704801e-09
1.2621774483536187e-02,1.4142990027050454e-05,3.5354087570181315e-25,-1.4346523826764357e-05,2.0916883426364230e-09
1.5777218104420235e-02,1.0221095433802726e-05,4.8835502042303151e-25,-1.0338958624454926e-05,1.2117216648305369e-09
1.9721522630525293e-02,7.3722106038550805e-06,-1.8368460502305318e-24,-7.4403465962578739e-06,7.0029053624638941e-10
2.4651903288156616e-02,5.3089683502425175e-06,1.0350052097322091e-24,-5.3483083024622182e-06,4.0395039644011456e-10
3.0814879110195769e-02,3.8182991205594811e-06,9.9225703931148008e-25,-3.8409965824970117e-06,2.3265680965410319e-10
3.8518598887744712e-02,2.7433831194785835e-06,1.2881221734270271e-24,-2.7564744147696708e-06,1.3383446885229597e-10
4.8148248609680894e-02,1.9694633966751117e-06,-1.6625365386537640e-24,-1.9770130983827871e-06,7.6912729417601035e-11
6.0185310762101117e-02,1.4129441229523780e-06,7.0247350855329273e-25,-1.4172982122155856e-06,4.4165904254575272e-11
7.5231638452626398e-02,1.0131506776649982e-06,2.3768447606090326e-25,-1.0156629897744121e-06,2.5345623158068824e-11
9.4039548065782991e-02,7.2617355885887726e-07,-7.5299442170085613e-25,-7.2762445681964691e-07,1.4537912802300229e-11
1.1754943508222873e-01,5.2030816513585211e-07,-9.4809470453719661e-26,-5.2114702116584712e-07,8.3353339688088561e-12
1.4693679385278591e-01,3.7270385222807018e-07,4.2351971394039625e-25,-3.7318957247200260e-07,4.7775731614660699e-12
1.8367099231598238e-01,2.6691529417953757e-07,-3.4625568363110387e-25,-2.6719708446515510e-07,2.7376531680427684e-12
2.2958874039497798e-01,1.9112085670882712e-07,1.4608257677287807e-26,-1.9128473058494548e-07,1.5684085981408873e-12
2.8698592549372248e-01,1.3683045454928328e-07,1.5059535602203655e-25,-1.3692603755869964e-07,8.9840317939866004e-13
3.5873240686715313e-01,9.7951126914328850e-08,-3.9648890758097848e-26,-9.8007077019209146e-08,5.1454372957115605e-13
4.4841550858394141e-01,7.0112870379867217e-08,-3.9757905157110744e-25,-7.0145761749176069e-08,2.9466630145528659e-13
5.6051938572992677e-01,5.0182852720289408e-08,2.4540653645909113e-25,-5.0202286641890654e-08,1.6873347122816295e-13
7.0064923216240849e-01,3.5916034072329268e-08,-4.7442629605154454e-26,-3.5927584742993673e-08,9.6614488751480186e-14
8.7581154020301066e-01,2.5704063553913520e-08,-1.2380706692736370e-26,-2.5710975766279622e-08,5.5317538028612969e-14
1.0000000000000000e+00,2.1069619302160945e-08,4.6161019425820981e-26,-2.1074732162437125e-08,3.9713106644533203e-14
