time_obs,Ex,Ey,Hz,dBzdt
1.0000000000000001e-05,8.9547004157604436e-04,-9.7497780422239222e-22,-2.1976168752697229e-03,4.4876359920246124e-06
1.4000000000000000e-05,8.9603880816844074e-04,-7.4694924689534586e-22,-2.1833280213842715e-03,4.4891535808781071e-06
1.9599999999999999e-05,8.9662009105726448e-04,-2.0526711944519080e-22,-2.1633154291086946e-03,4.4913404888191571e-06
2.7439999999999995e-05,8.9719792697810362e-04,-6.5077500060747725e-24,-2.1352868720215935e-03,4.4934943868340513e-06
3.8415999999999993e-05,8.9768028265041564e-04,2.6564940932951583e-23,-2.0960323554659664e-03,4.4950456396555961e-06
5.3782399999999988e-05,8.9810216063361125e-04,2.4323566223145011e-22,-2.0410569151114656e-03,4.4963149557171351e-06
7.5295359999999974e-05,8.9846092362378424e-04,-2.3689551814597536e-22,-1.9640826196477357e-03,4.4948356911424613e-06
1.0541350399999995e-04,8.9792291514837971e-04,2.0406479245992732e-22,-1.8566041641112118e-03,4.4659332472332778e-06
1.4757890559999993e-04,8.9195881486899291e-04,-1.2627576435955288e-22,-1.7088233733265836e-03,4.3194112779245219e-06
2.0661046783999990e-04,8.6868966907795067e-04,-9.9855547303426513e-23,-1.5146668788619290e-03,3.9179653903409126e-06
2.8925465497599983e-04,8.1261667981244196e-04,-4.3887101119965842e-23,-1.2798564397192443e-03,3.2190963046048895e-06
4.0495651696639975e-04,7.1711290609444752e-04,5.2525972036793379e-23,-1.0248975689820764e-03,2.3585540142157651e-06
5.6693912375295962e-04,5.9206455894726055e-04,-4.4266610301223553e-24,-7.7768427175848123e-04,1.5458003589137310e-06
7.9371477325414338e-04,4.5805370243818790e-04,-3.6401741543988842e-23,-5.6171001919467394e-04,9.1900579963976206e-07
1.1112006825558006e-03,3.3464995004096318e-04,-2.0389511530886936e-23,-3.8898588680697725e-04,5.0444018584936416e-07
1.5556809555781208e-03,2.3322814596446039e-04,5.3058958573725963e-23,-2.6032352396725903e-04,2.6007658436067243e-07
2.1779533378093689e-03,1.5661758468249188e-04,3.6405391510459119e-23,-1.6962184269507253e-04,1.2783661377359290e-07
3.0491346729331161e-03,1.0222827241445689e-04,1.2912342464920874e-24,-1.0829287273761873e-04,6.0632389596506229e-08
4.2687885421063623e-03,6.5323328403232652e-05,-1.5468671361805764e-24,-6.8092275773567757e-05,2.8010237621151733e-08
5.9763039589489069e-03,4.1091091702351540e-05,5.7709119997117987e-24,-4.2336029566942626e-05,1.2693243484610356e-08
8.3668255425284697e-03,2.5552990739650705e-05,1.2394893356832221e-23,-2.6106600481817824e-05,5.6723314180982834e-09
1.1713555759539857e-02,1.5758533394867236e-05,1.4908656116072031e-24,-1.6002807372222558e-05,2.5094017255063456e-09
1.6398978063355798e-02,9.6599417551729806e-06,-2.2040419920005441e-24,-9.7671381902942989e-06,1.1021048422762393e-09
2.2958569288698116e-02,5.8958833627588434e-06,5.4384288742535849e-25,-5.9427574862312546e-06,4.8151756171076450e-10
3.2141997004177358e-02,3.5873110113217012e-06,-2.1959006435130075e-25,-3.6077671451373194e-06,2.0959138988419721e-10
4.4998795805848299e-02,2.1777996722201318e-06,-8.6349579437166532e-25,-2.1867200297258012e-06,9.0984966418393863e-11
6.2998314128187613e-02,1.3199921306434709e-06,5.0365813392139103e-26,-1.3238826607975056e-06,3.9421680244376319e-11
8.8197639779462655e-02,7.9914748821192574e-07,7.0290259818218569e-26,-8.0084627601865438e-07,1.7056997555549988e-11
1.2347669569124771e-01,4.8342194829267794e-07,-1.4529892145202194e-25,-4.8416549856831596e-07,7.3730590044348767e-12
1.7286737396774679e-01,2.9226116748989246e-07,1.1438942455024015e-26,-2.9258780783125393e-07,3.1848203483845570e-12
2.4201432355484548e-01,1.7661756804023734e-07,-5.1886208604216655e-26,-1.7676180712089113e-07,1.3750139363623054e-12
3.3882005297678364e-01,1.0670054647967587e-07,-1.5289023971050274e-25,-1.0676469101422196e-07,5.9343562554398519e-13
4.7434807416749708e-01,6.4447560477083937e-08,-1.2979112407572000e-25,-6.4476353265719276e-08,2.5605189745915540e-13
6.6408730383449588e-01,3.8920642768315608e-08,1.3525465288654423e-25,-3.8933723180482760e-08,1.1046033415282332e-13
9.2972222536829419e-01,2.3502083542881334e-08,8.3380492576821141e-26,-2.3508115984476766e-08,4.7648457056384550e-14
1.0000000000000000e+00,2.1069619302160945e-08,4.6161019425820981e-26,-2.1074732162437125e-08,3.9713106644533203e-14
