time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.00042897429901139165,0.0008957185429443586,0.000466744243932967,0.5210836011038802,0.5210836011038802,0.5198399885248545,False
2e-05,Ex,0.0006282223052810714,0.0008965911514760171,0.00026836884619494577,0.2993213191465724,0.2993213191465724,0.29889786481532926,False
4e-05,Ex,0.0008388478379268564,0.0008978613693368284,5.901353140997203e-05,0.06572677411609786,0.06572677411609786,0.06572677411609786,False
1e-05,Ey,-1.665880562637352e-05,-1.171312745603975e-22,1.665880562637352e-05,1.4222337875939003e+17,1665880562.637352,1665880562.637352,False
2e-05,Ey,-2.8111726275656683e-05,-9.57748434074879e-23,2.8111726275656683e-05,2.935188957297616e+17,2811172627.565668,2811172627.565668,False
4e-05,Ey,-4.07856938285039e-05,2.4641339952842375e-22,4.07856938285039e-05,1.6551735379065405e+17,4078569382.85039,4078569382.85039,False
1e-05,Hz,-0.002286008690307296,-0.0021976167823996875,8.839190790760863e-05,0.040221711362746826,0.040221711362746826,0.040221711362746826,True
2e-05,Hz,-0.002259138450492365,-0.00216188526871806,9.725318177430508e-05,0.044985357540260965,0.044985357540260965,0.044253931146316365,True
4e-05,Hz,-0.002188915035281133,-0.002090365240263085,9.854979501804821e-05,0.04714477313335211,0.04714477313335211,0.04484393994772681,True
1e-05,dBzdt,2.884882957531414e-06,4.480304523477692e-06,1.5954215659462783e-06,0.3560966799435061,0.3560966799435061,0.3549869046652062,False
2e-05,dBzdt,3.583525965761404e-06,4.494311043532566e-06,9.107850777711619e-07,0.20265288026332892,0.20265288026332892,0.20265288026332892,False
4e-05,dBzdt,4.4809757308678435e-06,4.492930091887956e-06,1.1954361020112786e-08,0.00266070487980584,0.00266070487980584,0.0026598873340810338,True
