time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0009888196780503996,3.644706376697888e-06,nan,4.538524572405244e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0009816669876406,1.8642633572909884e-05,-0.002193516943645513,4.51115205152062e-06,5,4,32,9.6
2e-05,point,0.0,0.0010100981649719548,2.166072049773527e-07,nan,4.681013903216399e-06,1,32,32,32.0
2e-05,disk_average,2.0,0.0010043138493148877,1.6554654752487675e-05,-0.0021471745336426066,4.599385091826904e-06,5,4,32,9.6
4e-05,point,0.0,0.0010155793101163284,-7.114318031055956e-06,nan,4.7117048549410495e-06,1,32,32,32.0
4e-05,disk_average,2.0,0.0010112165736025501,1.0154565306556606e-05,-0.0020536225473351834,4.61749361920564e-06,5,4,32,9.6
8e-05,point,0.0,0.001005527006598525,-2.3070729632007046e-05,nan,4.608715982619902e-06,1,32,32,32.0
8e-05,disk_average,2.0,0.0010026461690669849,-4.698627311824434e-06,-0.0018772792737125356,4.524107827452526e-06,5,4,32,9.6
0.00016,point,0.0,0.0009748126209340433,-4.026587616183577e-05,nan,4.190377867400539e-06,1,32,32,32.0
0.00016,disk_average,2.0,0.0009732250726922087,-2.143271224524055e-05,-0.0015739703969947956,4.122379491051041e-06,5,4,32,9.6
0.00032,point,0.0,0.0008709432025065188,-3.0390258568943978e-05,nan,3.1360865446164806e-06,1,32,32,32.0
0.00032,disk_average,2.0,0.0008705160453261055,-1.505643614063168e-05,-0.001143746529789625,3.0907059956026857e-06,5,4,32,9.6
0.00064,point,0.0,0.0006407299633566633,9.924622926820788e-07,nan,1.7038624991205355e-06,1,32,32,32.0
0.00064,disk_average,2.0,0.0006410725774423206,9.295979942299706e-06,-0.0006965857383398964,1.683013857660185e-06,5,4,32,9.6
0.00128,point,0.0,0.000369424118271597,1.4624709527060185e-05,nan,6.554520111036684e-07,1,32,32,32.0
0.00128,disk_average,2.0,0.0003698469882042581,1.742738690647837e-05,-0.00036656150808159015,6.493621471307282e-07,5,4,32,9.6
0.00256,point,0.0,0.00017765052847674255,9.294257509770163e-06,nan,1.9709047568367132e-07,1,32,32,32.0
0.00256,disk_average,2.0,0.00017787514258990207,9.919804777379416e-06,-0.0001774095759427264,1.958992363013092e-07,5,4,32,9.6
0.00512,point,0.0,7.842646709608323e-05,3.2285134848182705e-06,nan,5.3185539365509585e-08,1,32,32,32.0
0.00512,disk_average,2.0,7.851512432199934e-05,3.351233735426892e-06,-7.998898019614824e-05,5.298649713872561e-08,5,4,32,9.6
0.01024,point,0.0,3.2879951496462744e-05,7.941955096303954e-07,nan,1.317280557800761e-08,1,32,32,32.0
0.01024,disk_average,2.0,3.2910516932425435e-05,8.257168774620003e-07,-3.280482686859328e-05,1.3133040365207623e-08,5,4,32,9.6
0.02048,point,0.0,1.3031665996707037e-05,1.1180732958648116e-07,nan,2.8616129023049703e-09,1,32,32,32.0
0.02048,disk_average,2.0,1.3040550495472438e-05,1.2120072596150062e-07,-1.2118425377596254e-05,2.852947073011798e-09,5,4,32,9.6
0.04096,point,0.0,4.880414799737977e-06,-1.7691500405620596e-08,nan,5.375398473359001e-10,1,32,32,32.0
0.04096,disk_average,2.0,4.8824934633601634e-06,-1.5235381460360504e-08,-4.096315906042884e-06,5.358221882726457e-10,5,4,32,9.6
0.08192,point,0.0,1.736669113490654e-06,-2.0855931529181874e-08,nan,8.75967306399457e-11,1,32,32,32.0
0.08192,disk_average,2.0,1.737106940597189e-06,-2.0313057181037324e-08,-1.3791085700164134e-06,8.727530961484309e-11,5,4,32,9.6
0.16384,point,0.0,6.004526934300723e-07,-9.218113991346832e-09,nan,1.3853931799025504e-11,1,32,32,32.0
0.16384,disk_average,2.0,6.005523698704533e-07,-9.109542599010141e-09,-4.944957741759741e-07,1.3791864637522441e-11,5,4,32,9.6
0.32768,point,0.0,2.0503882273381784e-07,-2.609692539429847e-09,nan,2.4285623515544877e-12,1,32,32,32.0
0.32768,disk_average,2.0,2.050659118941193e-07,-2.5888728060542222e-09,-1.797372153954351e-07,2.416797225042759e-12,5,4,32,9.6
0.65536,point,0.0,6.833758255715799e-08,-5.423644096252109e-10,nan,4.4297006423754585e-13,1,32,32,32.0
0.65536,disk_average,2.0,6.834552397751752e-08,-5.392380142332884e-10,-6.346760764071594e-08,4.4096245238814446e-13,5,4,32,9.6
1.0,point,0.0,2.985756303520585e-08,-1.4769738555190662e-10,nan,1.2328369316197578e-13,1,32,32,32.0
1.0,disk_average,2.0,2.986082707143553e-08,-1.4707549727999237e-10,-2.914201966986917e-08,1.2277368730083882e-13,5,4,32,9.6
