time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.0007322299335777591,0.0008954700733392766,0.0001632401397615175,0.1822954720896283,0.1822954720896283,0.1816751111359116,False
2e-05,Ex,0.0008363412790535594,0.0008967074046211135,6.036612556755403e-05,0.06731975810221014,0.06731975810221014,0.0671833691600107,False
4e-05,Ex,0.0009009997479057823,0.0008977062742221728,3.293473683609505e-06,0.003668765361435365,0.003668765361435365,0.0036654109606074413,True
8e-05,Ex,0.0009211606760840495,0.0008985278101159227,2.263286596812682e-05,0.025188831901827125,0.025188831901827125,0.025188831901827125,True
0.00016,Ex,0.0008958623121829669,0.0008885478424902329,7.314469692733944e-06,0.008231936810779376,0.008231936810779376,0.008140504512364814,True
0.00032,Ex,0.0007926866947216566,0.000787951504408638,4.7351903130186685e-06,0.0060094946028086535,0.0060094946028086535,0.0052699429663816,True
0.00064,Ex,0.0005985930758078599,0.0005436720299293242,5.4921045878535656e-05,0.10101870770448726,0.10101870770448726,0.06112336786932624,False
0.00128,Ex,0.0003769274359355835,0.0002890136629689803,8.791377296660322e-05,0.3041855255681769,0.3041855255681769,0.09784201665974157,False
0.00256,Ex,0.00020569171508915077,0.0001279912469164208,7.770046817272996e-05,0.6070764215889616,0.6070764215889616,0.08647530693869732,False
0.00512,Ex,0.00010710335613684965,5.093242800104574e-05,5.617092813580391e-05,1.1028519617138735,1.1028519617138735,0.0625144013389603,False
0.01024,Ex,6.075941009121119e-05,1.9131993266795687e-05,4.1627416824415505e-05,2.1758013524216264,2.1758013524216264,0.04632846791803248,False
0.02048,Ex,1.1522843922670567e-05,6.9747273826546285e-06,4.548116540015939e-06,0.6520852056994513,0.6520852056994513,0.005061742651492521,False
0.04096,Ex,4.168217153634934e-06,2.5042488857853472e-06,1.663968267849587e-06,0.6644580246374979,0.6644580246374979,0.0018518828789894793,False
0.08192,Ex,1.4699294993239792e-06,8.922538192209897e-07,5.776756801029894e-07,0.6474342475859026,0.6474342475859026,0.0006429135232091049,False
0.16384,Ex,5.091545100528751e-07,3.166817641585793e-07,1.9247274589429578e-07,0.6077796945640183,0.6077796945640183,0.00021420900246756314,False
0.32768,Ex,1.737508516262819e-07,1.1218061315680684e-07,6.157023846947504e-08,0.5488491882586854,0.5488491882586854,6.85234644674288e-05,False
0.65536,Ex,5.776585476291315e-08,3.9700169582545363e-08,1.8065685180367785e-08,0.4550530985215381,0.4550530985215381,2.0105872046450135e-05,False
1.0,Ex,2.518403060238507e-08,2.1069619302160945e-08,4.114411300224126e-09,0.19527696448706805,0.19527696448706805,4.579058381836072e-06,False
