time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0007467124421592113,-9.093317458488883e-05,nan,4.2014599258840505e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0007322299335777591,-4.104474251333404e-05,-0.0021002675702367704,4.048202742537325e-06,5,4,32,9.6
2e-05,point,0.0,0.00084638119044543,-8.733579537677076e-05,nan,4.297365957787662e-06,1,32,32,32.0
2e-05,disk_average,2.0,0.0008363412790535594,-3.711648146447812e-05,-0.002067808722207569,4.35465081412479e-06,5,4,32,9.6
4e-05,point,0.0,0.0009067122818190465,-7.982422129736307e-05,nan,4.357182674821127e-06,1,32,32,32.0
4e-05,disk_average,2.0,0.0009009997479057823,-3.145356176122574e-05,-0.001996944157823497,4.535943910660962e-06,5,4,32,9.6
8e-05,point,0.0,0.0009232085042935535,-7.068417026474772e-05,nan,4.308814534162666e-06,1,32,32,32.0
8e-05,disk_average,2.0,0.0009211606760840495,-2.669390117641621e-05,-0.0018527472751047312,4.5184611768793276e-06,5,4,32,9.6
0.00016,point,0.0,0.0008951960361151383,-6.019745113425583e-05,nan,3.922061569534728e-06,1,32,32,32.0
0.00016,disk_average,2.0,0.0008958623121829669,-2.370299378645064e-05,-0.0015889851953706628,4.092598722427141e-06,5,4,32,9.6
0.00032,point,0.0,0.0007904578595233384,-4.606510753977166e-05,nan,2.9390735558451058e-06,1,32,32,32.0
0.00032,disk_average,2.0,0.0007926866947216566,-2.059005002505678e-05,-0.0011953672912722992,3.036724612763816e-06,5,4,32,9.6
0.00064,point,0.0,0.000595921193518932,-2.9530762793435238e-05,nan,1.6521111333189397e-06,1,32,32,32.0
0.00064,disk_average,2.0,0.0005985930758078599,-1.532983848608741e-05,-0.0007562443842846931,1.6901098851825704e-06,5,4,32,9.6
0.00128,point,0.0,0.00037444124732457254,-1.5315069491223876e-05,nan,6.790531862303947e-07,1,32,32,32.0
0.00128,disk_average,2.0,0.0003769274359355835,-8.557115966378813e-06,-0.00039955859258859473,6.890993044686007e-07,5,4,32,9.6
0.00256,point,0.0,0.00020346785139646975,-6.446015828441733e-06,nan,2.1118666642005148e-07,1,32,32,32.0
0.00256,disk_average,2.0,0.00020569171508915077,-2.998057581884163e-06,-0.00018200777372670085,2.130642302669599e-07,5,4,32,9.6
0.00512,point,0.0,0.000105021779864536,-2.0804567565499074e-06,nan,5.338635629225492e-08,1,32,32,32.0
0.00512,disk_average,2.0,0.00010710335613684965,2.9664840517060825e-07,-7.507555207414518e-05,5.3646123202864734e-08,5,4,32,9.6
0.01024,point,0.0,5.873184219608057e-05,-1.5193076851603194e-07,nan,1.1834476014219967e-08,1,32,32,32.0
0.01024,disk_average,2.0,6.075941009121119e-05,1.9510227731832327e-06,-2.921861098440785e-05,1.1861430867951586e-08,5,4,32,9.6
0.02048,point,0.0,1.1515625052158604e-05,-6.941618262763956e-07,nan,2.4406116068094385e-09,1,32,32,32.0
0.02048,disk_average,2.0,1.1522843922670567e-05,-6.849268077460056e-07,-1.1258723763290919e-05,2.4431270267379804e-09,5,4,32,9.6
0.04096,point,0.0,4.166363413494591e-06,-2.8815814098763135e-07,nan,4.832455296671633e-10,1,32,32,32.0
0.04096,disk_average,2.0,4.168217153634934e-06,-2.8749913451890036e-07,-4.162376597959763e-06,4.835550305990155e-10,5,4,32,9.6
0.08192,point,0.0,1.4695341499190635e-06,-1.1008470458413066e-07,nan,9.084576011456548e-11,1,32,32,32.0
0.08192,disk_average,2.0,1.4699294993239792e-06,-1.1008844718117665e-07,-1.4841600470091136e-06,9.090851391255065e-11,5,4,32,9.6
0.16384,point,0.0,5.090818674797774e-07,-4.014990579701012e-08,nan,1.5976898697208268e-11,1,32,32,32.0
0.16384,disk_average,2.0,5.091545100528751e-07,-4.0153555312925646e-08,-5.208469314855409e-07,1.599423029178312e-11,5,4,32,9.6
0.32768,point,0.0,1.7373814883484464e-07,-1.3868373499849923e-08,nan,2.739471362675497e-12,1,32,32,32.0
0.32768,disk_average,2.0,1.737508516262819e-07,-1.3868901737123758e-08,-1.8384905771402926e-07,2.74322413152662e-12,5,4,32,9.6
0.65536,point,0.0,5.776353545593831e-08,-4.519582746909639e-09,nan,4.860540014209566e-13,1,32,32,32.0
0.65536,disk_average,2.0,5.776585476291315e-08,-4.519877991444437e-09,-6.383534277945589e-08,4.866486292164826e-13,5,4,32,9.6
1.0,point,0.0,2.5183348358346556e-08,-1.936476949113961e-09,nan,1.348522264096966e-13,1,32,32,32.0
1.0,disk_average,2.0,2.518403060238507e-08,-1.936658016796378e-09,-2.903314596863087e-08,1.3499539566087794e-13,5,4,32,9.6
