time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.0009852890698285198,0.0008954700733392766,8.98189964892432e-05,0.1003037389672904,0.1003037389672904,0.09996240013723703,False
2e-05,Ex,0.0010061244215759857,0.0008967074046211135,0.00010941701695487218,0.12202086922779928,0.12202086922779928,0.12177365655577857,False
4e-05,Ex,0.0010121200519180207,0.0008977062742221728,0.00011441377769584788,0.1274512398779689,0.1274512398779689,0.12733470951899298,False
8e-05,Ex,0.0010030938196284873,0.0008985278101159227,0.00010456600951256462,0.11637481704553378,0.11637481704553378,0.11637481704553378,False
0.00016,Ex,0.0009734435656563532,0.0008885478424902329,8.489572316612028e-05,0.0955443467491774,0.0955443467491774,0.09448313364409672,False
0.00032,Ex,0.0008706205229812912,0.000787951504408638,8.266901857265324e-05,0.10491637887625686,0.10491637887625686,0.09200496372169914,False
0.00064,Ex,0.0006411213775517851,0.0005436720299293242,9.744934762246087e-05,0.17924289324784465,0.17924289324784465,0.10845445908890515,False
0.00128,Ex,0.0003698691725901795,0.0002890136629689803,8.08555096211992e-05,0.2797636235968449,0.2797636235968449,0.08998665228933504,False
0.00256,Ex,0.00017788491572336184,0.0001279912469164208,4.989366880694103e-05,0.3898209448613462,0.3898209448613462,0.055528241024063625,False
0.00512,Ex,7.851924290490611e-05,5.093242800104574e-05,2.758681490386037e-05,0.5416355745556438,0.5416355745556438,0.03070223825381797,False
0.01024,Ex,3.291211859661987e-05,1.9131993266795687e-05,1.3780125329824183e-05,0.7202660557977575,0.7202660557977575,0.015336337033403957,False
0.02048,Ex,1.3041078721874198e-05,6.9747273826546285e-06,6.066351339219569e-06,0.8697617851424431,0.8697617851424431,0.006751434146970838,False
0.04096,Ex,4.882621490637075e-06,2.5042488857853472e-06,2.3783726048517277e-06,0.9497349158671408,0.9497349158671408,0.0026469660460980995,False
0.08192,Ex,1.73712731761477e-06,8.922538192209897e-07,8.448734983937802e-07,0.9468981585659376,0.9468981585659376,0.0009402864206114885,False
0.16384,Ex,6.005634470308634e-07,3.166817641585793e-07,2.8388168287228415e-07,0.8964257339747849,0.8964257339747849,0.0003159408976285992,False
0.32768,Ex,2.0507550151861897e-07,1.1218061315680684e-07,9.289488836181212e-08,0.828083264547351,0.828083264547351,0.00010338565742314351,False
0.65536,Ex,6.83380245331431e-08,3.9700169582545363e-08,2.8637854950597735e-08,0.7213534665400698,0.7213534665400698,3.187197394246823e-05,False
1.0,Ex,2.9826907527504154e-08,2.1069619302160945e-08,8.757288225343209e-09,0.41563580716643717,0.41563580716643717,9.746262861038654e-06,False
1e-05,Ey,2.0092969510698567e-05,-9.750392918487587e-22,2.0092969510698567e-05,2.0607343394952384e+16,2009296951.0698566,2009296951.0698566,False
2e-05,Ey,1.7279766833951588e-05,-2.7137600361270024e-22,1.7279766833951588e-05,6.3674630785015016e+16,1727976683.3951588,1727976683.3951588,False
4e-05,Ey,1.0517038835133376e-05,-1.3792545669538394e-22,1.0517038835133376e-05,7.625161509061262e+16,1051703883.5133376,1051703883.5133376,False
8e-05,Ey,-4.517451826717396e-06,-2.6841562147576713e-22,4.517451826717396e-06,1.683006302643692e+16,451745182.67173964,451745182.67173964,False
0.00016,Ey,-2.1342101540234398e-05,-1.0462579573333249e-23,2.1342101540234398e-05,2.0398508217448202e+18,2134210154.02344,2134210154.02344,False
0.00032,Ey,-1.5011117580050162e-05,3.678289345904718e-24,1.5011117580050162e-05,4.081005100037339e+18,1501111758.0050163,1501111758.0050163,False
0.00064,Ey,9.318579892700305e-06,2.6625055273401174e-23,9.318579892700305e-06,3.4999288440950976e+17,931857989.2700305,931857989.2700305,False
0.00128,Ey,1.7438629855450695e-05,-1.696602236689298e-23,1.7438629855450695e-05,1.0278561160852851e+18,1743862985.5450695,1743862985.5450695,False
0.00256,Ey,9.925382073414645e-06,1.790338176818214e-23,9.925382073414645e-06,5.5438588094311974e+17,992538207.3414645,992538207.3414645,False
0.00512,Ey,3.3539821873525146e-06,3.2304051131967023e-24,3.3539821873525146e-06,1.0382543581456644e+18,335398218.7352515,335398218.7352515,False
0.01024,Ey,8.270770310345013e-07,-1.2530930267181279e-23,8.270770310345013e-07,6.6002843635690024e+16,82707703.10345013,82707703.10345013,False
0.02048,Ey,1.2187725859952567e-07,-9.378671141979118e-26,1.2187725859952567e-07,1.2995152165427855e+18,12187725.859952567,12187725.859952567,False
0.04096,Ey,-1.4902646884302705e-08,2.210015264013413e-24,1.490264688430271e-08,6743232559054516.0,1490264.6884302709,1490264.6884302709,False
0.08192,Ey,-2.0146924909539953e-08,1.0235603777345722e-24,2.0146924909539953e-08,1.9683181713355084e+16,2014692.4909539954,2014692.4909539954,False
0.16384,Ey,-9.027100328480137e-09,3.5918991045969955e-25,9.027100328480137e-09,2.5131831562103304e+16,902710.0328480137,902710.0328480137,False
0.32768,Ey,-2.547472872954185e-09,-1.8208529314808237e-25,2.547472872954185e-09,1.3990547116193682e+16,254747.28729541847,254747.28729541847,False
0.65536,Ey,-5.183560246208366e-10,1.7022743271119947e-25,5.183560246208368e-10,3045079258759998.5,51835.602462083676,51835.602462083676,False
1.0,Ey,-1.3655053143183043e-10,4.616101942582098e-26,1.3655053143183048e-10,2958135091692722.0,13655.053143183048,13655.053143183048,False
1e-05,Hz,-0.002193518722104479,-0.002197616875288272,4.09815318379303e-06,0.0018648169432424182,0.0018648169432424182,0.0018648169432424182,True
2e-05,Hz,-0.002147175423478428,-0.0021618856522278894,1.4710228749461457e-05,0.006804350976797554,0.006804350976797554,0.006693718507022224,True
4e-05,Hz,-0.0020536229935684013,-0.0020903662704995283,3.674327693112701e-05,0.017577434849418316,0.017577434849418316,0.016719600829560984,True
8e-05,Hz,-0.0018772794876499306,-0.001947257360641248,6.99778729913174e-05,0.035936632930879314,0.035936632930879314,0.031842617236063075,True
0.00016,Hz,-0.001573970498153323,-0.0016664600505812345,9.248955242791164e-05,0.05550061184824249,0.05550061184824249,0.04208629514449799,False
0.00032,Hz,-0.0011437466141224037,-0.001204195925592685,6.044931147028139e-05,0.05019890051573563,0.05019890051573563,0.02750675613662275,False
0.00064,Hz,-0.0006965858487685446,-0.0006953818163559687,1.2040324125758622e-06,0.0017314695096362904,0.0017314695096362904,0.0005478809459987987,True
0.00128,Hz,-0.0003665616099802232,-0.0003297908736450317,3.6770736335191485e-05,0.11149713128438306,0.11149713128438306,0.016732095912017464,False
0.00256,Hz,-0.00017740960905602665,-0.00013703345893037528,4.0376150125651366e-05,0.2946444645038545,0.2946444645038545,0.01837269752506566,False
0.00512,Hz,-7.998893779660118e-05,-5.273310011445466e-05,2.7255837682146517e-05,0.5168639359906592,0.5168639359906592,0.01240245194175224,False
0.01024,Hz,-3.2804767557318736e-05,-1.9470953865217384e-05,1.3333813692101351e-05,0.6848053662086208,0.6848053662086208,0.006067396843388496,False
0.02048,Hz,-1.2118413641010026e-05,-7.036826858344157e-06,5.081586782665869e-06,0.7221417955793817,0.7221417955793817,0.002312316964711737,False
0.04096,Hz,-4.096359795858279e-06,-2.515497479343826e-06,1.5808623165144532e-06,0.6284491753602651,0.6284491753602651,0.0007193530111144073,False
0.08192,Hz,-1.3791743162901764e-06,-8.942910501591015e-07,4.848832661310749e-07,0.5421985001916438,0.5421985001916438,0.00022064049088059103,False
0.16384,Hz,-4.945536974604807e-07,-3.1705405610296256e-07,1.7749964135751817e-07,0.5598403109527657,0.5598403109527657,8.07691474130288e-05,False
0.32768,Hz,-1.797729325922796e-07,-1.122501097960851e-07,6.752282279619451e-08,0.6015390356308541,0.6015390356308541,3.072547519791739e-05,False
0.65536,Hz,-6.347682090726288e-08,-3.97136585398788e-08,2.376316236738408e-08,0.5983624586871568,0.5983624586871568,1.0813150660879847e-05,False
1.0,Hz,-2.9133336704581515e-08,-2.1074732162437125e-08,8.05860454214439e-09,0.38238229933511414,0.38238229933511414,3.666974272340944e-06,False
1e-05,dBzdt,4.5111512385845515e-06,4.48763624039243e-06,2.351499819212174e-08,0.00523995193292793,0.00523995193292793,0.005231289455423662,True
2e-05,dBzdt,4.5993849303224525e-06,4.491839945214988e-06,1.0754498510746418e-07,0.02394230124384293,0.02394230124384293,0.02392511119838659,True
4e-05,dBzdt,4.617493105998144e-06,4.495067304628309e-06,1.2242580136983468e-07,0.027235588050879674,0.027235588050879674,0.027235588050879674,True
8e-05,dBzdt,4.524108725001171e-06,4.4932662494133314e-06,3.0842475587839815e-08,0.006864154909998222,0.006864154909998222,0.006861404623704547,True
0.00016,dBzdt,4.122379137370769e-06,4.250685441647293e-06,1.2830630427652418e-07,0.03018485042892303,0.03018485042892303,0.028543800477562293,True
0.00032,dBzdt,3.0907054271925664e-06,2.968067438904479e-06,1.226379882880874e-07,0.041319138062898386,0.041319138062898386,0.027282792442688053,True
0.00064,dBzdt,1.6830136343231837e-06,1.2950550845612449e-06,3.8795854976193877e-07,0.29956914913266125,0.29956914913266125,0.08630761754389761,False
0.00128,dBzdt,6.49362215319628e-07,3.8441448564225464e-07,2.649477296773734e-07,0.6892241046398551,0.6892241046398551,0.05894188267316312,False
0.00256,dBzdt,1.9589926168075897e-07,8.968258082068324e-08,1.0621668086007573e-07,1.184362446844073,1.184362446844073,0.0236296085601901,False
0.00512,dBzdt,5.298651396664154e-08,1.829941786655939e-08,3.4687096100082146e-08,1.8955300301366322,1.8955300301366322,0.007716702275929631,False
0.01024,dBzdt,1.3133037150226582e-08,3.4796522947877215e-09,9.65338485543886e-09,2.774238354188136,2.774238354188136,0.002147550681944035,False
0.02048,dBzdt,2.85294119610581e-09,6.381462175205707e-10,2.2147949785852393e-09,3.4706700718066155,3.4706700718066155,0.0004927167556100426,False
0.04096,dBzdt,5.358209530238452e-10,1.149092667606687e-10,4.2091168626317646e-10,3.6629916640217104,3.6629916640217104,9.363857262599565e-05,False
0.08192,dBzdt,8.727537462572164e-11,2.0501561343036178e-11,6.677381328268546e-11,3.2570111205392025,3.2570111205392025,1.4854908449075357e-05,False
0.16384,dBzdt,1.3792237049372812e-11,3.640951271434267e-12,1.0151285777938545e-11,2.7880861404496864,2.2583167481132835,2.2583167481132833e-06,False
