time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0009924374227905247,4.913237394144077e-06,nan,4.5385234717188785e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0009852890698285198,2.0092969510698567e-05,-0.002193518722104479,4.5111512385845515e-06,5,4,32,9.6
2e-05,point,0.0,0.0010119065806134609,8.508114677830383e-07,nan,4.681013879039333e-06,1,32,32,32.0
2e-05,disk_average,2.0,0.0010061244215759857,1.7279766833951588e-05,-0.002147175423478428,4.5993849303224525e-06,5,4,32,9.6
4e-05,point,0.0,0.0010164816940073968,-6.7973205853132105e-06,nan,4.711705445464444e-06,1,32,32,32.0
4e-05,disk_average,2.0,0.0010121200519180207,1.0517038835133376e-05,-0.0020536229935684013,4.617493105998144e-06,5,4,32,9.6
8e-05,point,0.0,0.0010059740017495933,-2.2912364121154672e-05,nan,4.608717465218668e-06,1,32,32,32.0
8e-05,disk_average,2.0,0.0010030938196284873,-4.517451826717396e-06,-0.0018772794876499306,4.524108725001171e-06,5,4,32,9.6
0.00016,point,0.0,0.0009750307731939319,-4.0186675055216734e-05,nan,4.190377875700462e-06,1,32,32,32.0
0.00016,disk_average,2.0,0.0009734435656563532,-2.1342101540234398e-05,-0.001573970498153323,4.122379137370769e-06,5,4,32,9.6
0.00032,point,0.0,0.000871047501354545,-3.0350655827295322e-05,nan,3.1360861648606707e-06,1,32,32,32.0
0.00032,disk_average,2.0,0.0008706205229812912,-1.5011117580050162e-05,-0.0011437466141224037,3.0907054271925664e-06,5,4,32,9.6
0.00064,point,0.0,0.0006407786389460504,1.0121902599419847e-06,nan,1.7038622441589366e-06,1,32,32,32.0
0.00064,disk_average,2.0,0.0006411213775517851,9.318579892700305e-06,-0.0006965858487685446,1.6830136343231837e-06,5,4,32,9.6
0.00128,point,0.0,0.00036944623353354347,1.4634521840165942e-05,nan,6.554520109997021e-07,1,32,32,32.0
0.00128,disk_average,2.0,0.0003698691725901795,1.7438629855450695e-05,-0.0003665616099802232,6.49362215319628e-07,5,4,32,9.6
0.00256,point,0.0,0.00017766028733342897,9.29912635150709e-06,nan,1.970904626229751e-07,1,32,32,32.0
0.00256,disk_average,2.0,0.00017788491572336184,9.925382073414645e-06,-0.00017740960905602665,1.9589926168075897e-07,5,4,32,9.6
0.00512,point,0.0,7.843060041777308e-05,3.2309140631741747e-06,nan,5.3185544505110354e-08,1,32,32,32.0
0.00512,disk_average,2.0,7.851924290490611e-05,3.3539821873525146e-06,-7.998893779660118e-05,5.298651396664154e-08,5,4,32,9.6
0.01024,point,0.0,3.2881591977978606e-05,7.953898148144685e-07,nan,1.3172804016703899e-08,1,32,32,32.0
0.01024,disk_average,2.0,3.291211859661987e-05,8.270770310345013e-07,-3.2804767557318736e-05,1.3133037150226582e-08,5,4,32,9.6
0.02048,point,0.0,1.3032230824719339e-05,1.1240233583139685e-07,nan,2.861606615713443e-09,1,32,32,32.0
0.02048,disk_average,2.0,1.3041078721874198e-05,1.2187725859952567e-07,-1.2118413641010026e-05,2.85294119610581e-09,5,4,32,9.6
0.04096,point,0.0,4.880562641646e-06,-1.7400881281240813e-08,nan,5.375378976088313e-10,1,32,32,32.0
0.04096,disk_average,2.0,4.882621490637075e-06,-1.4902646884302705e-08,-4.096359795858279e-06,5.358209530238452e-10,5,4,32,9.6
0.08192,point,0.0,1.7367002330775384e-06,-2.0712065753868698e-08,nan,8.759689808660255e-11,1,32,32,32.0
0.08192,disk_average,2.0,1.73712731761477e-06,-2.0146924909539953e-08,-1.3791743162901764e-06,8.727537462572164e-11,5,4,32,9.6
0.16384,point,0.0,6.00471897744793e-07,-9.146971706785437e-09,nan,1.3854350177625971e-11,1,32,32,32.0
0.16384,disk_average,2.0,6.005634470308634e-07,-9.027100328480137e-09,-4.945536974604807e-07,1.3792237049372812e-11,5,4,32,9.6
0.32768,point,0.0,2.050559767144993e-07,-2.5723676390896225e-09,nan,2.428686815486318e-12,1,32,32,32.0
0.32768,disk_average,2.0,2.0507550151861897e-07,-2.547472872954185e-09,-1.797729325922796e-07,2.416940440633542e-12,5,4,32,9.6
0.65536,point,0.0,6.833390586953525e-08,-5.234718551487874e-10,nan,4.4300408415014325e-13,1,32,32,32.0
0.65536,disk_average,2.0,6.83380245331431e-08,-5.183560246208366e-10,-6.347682090726288e-08,4.4101013407943766e-13,5,4,32,9.6
1.0,point,0.0,2.9825576643942666e-08,-1.3814806572555687e-10,nan,1.2329929561262572e-13,1,32,32,32.0
1.0,disk_average,2.0,2.9826907527504154e-08,-1.3655053143183043e-10,-2.9133336704581515e-08,1.227917543433206e-13,5,4,32,9.6
