time_obs,receiver_type,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,point,Ex,0.0009924374227905247,0.0008954700733392766,9.69673494512481e-05,0.10828653278121224,0.10828653278121224,0.10791802808945664,False
1e-05,point,Ey,4.913237394144077e-06,-9.750392918487587e-22,4.9132373941440775e-06,5039014771218250.0,491323739.41440773,491323739.41440773,False
1e-05,point,dBzdt,4.5385234717188785e-06,4.48763624039243e-06,5.088723132644879e-08,0.011339428732752828,0.011339428732752828,0.011320682845850421,True
1e-05,disk_average,Ex,0.0009852890698285198,0.0008954700733392766,8.98189964892432e-05,0.1003037389672904,0.1003037389672904,0.09996240013723703,False
1e-05,disk_average,Ey,2.0092969510698567e-05,-9.750392918487587e-22,2.0092969510698567e-05,2.0607343394952384e+16,2009296951.0698566,2009296951.0698566,False
1e-05,disk_average,Hz,-0.002193518722104479,-0.002197616875288272,4.09815318379303e-06,0.0018648169432424182,0.0018648169432424182,0.0018648169432424182,True
1e-05,disk_average,dBzdt,4.5111512385845515e-06,4.48763624039243e-06,2.351499819212174e-08,0.00523995193292793,0.00523995193292793,0.005231289455423662,True
2e-05,point,Ex,0.0010119065806134609,0.0008967074046211135,0.0001151991759923474,0.12846908077113806,0.12846908077113806,0.12820880410756022,False
2e-05,point,Ey,8.508114677830383e-07,-2.7137600361270024e-22,8.508114677830386e-07,3135175757828947.5,85081146.77830386,85081146.77830386,False
2e-05,point,dBzdt,4.681013879039333e-06,4.491839945214988e-06,1.8917393382434434e-07,0.04211502104518778,0.04211502104518778,0.042084783386794444,True
2e-05,disk_average,Ex,0.0010061244215759857,0.0008967074046211135,0.00010941701695487218,0.12202086922779928,0.12202086922779928,0.12177365655577857,False
2e-05,disk_average,Ey,1.7279766833951588e-05,-2.7137600361270024e-22,1.7279766833951588e-05,6.3674630785015016e+16,1727976683.3951588,1727976683.3951588,False
2e-05,disk_average,Hz,-0.002147175423478428,-0.0021618856522278894,1.4710228749461457e-05,0.006804350976797554,0.006804350976797554,0.006693718507022224,True
2e-05,disk_average,dBzdt,4.5993849303224525e-06,4.491839945214988e-06,1.0754498510746418e-07,0.02394230124384293,0.02394230124384293,0.02392511119838659,True
4e-05,point,Ex,0.0010164816940073968,0.0008977062742221728,0.00011877541978522394,0.13230989154903497,0.13230989154903497,0.13218891886039705,False
4e-05,point,Ey,-6.7973205853132105e-06,-1.3792545669538394e-22,6.7973205853132105e-06,4.9282567179208056e+16,679732058.531321,679732058.531321,False
4e-05,point,dBzdt,4.711705445464444e-06,4.495067304628309e-06,2.1663814083613464e-07,0.04819463784514972,0.04819463784514972,0.04819463784514972,True
4e-05,disk_average,Ex,0.0010121200519180207,0.0008977062742221728,0.00011441377769584788,0.1274512398779689,0.1274512398779689,0.12733470951899298,False
4e-05,disk_average,Ey,1.0517038835133376e-05,-1.3792545669538394e-22,1.0517038835133376e-05,7.625161509061262e+16,1051703883.5133376,1051703883.5133376,False
4e-05,disk_average,Hz,-0.0020536229935684013,-0.0020903662704995283,3.674327693112701e-05,0.017577434849418316,0.017577434849418316,0.016719600829560984,True
4e-05,disk_average,dBzdt,4.617493105998144e-06,4.495067304628309e-06,1.2242580136983468e-07,0.027235588050879674,0.027235588050879674,0.027235588050879674,True
