time_obs,Ex,Ey,Hz,dBzdt
1.0000000000000001e-05,8.9547007333927659e-04,-9.7503929184875875e-22,-2.1976168752882719e-03,4.4876362403924297e-06
2.0000000000000002e-05,8.9670740462111348e-04,-2.7137600361270024e-22,-2.1618856522278894e-03,4.4918399452149883e-06
4.0000000000000003e-05,8.9770627422217282e-04,-1.3792545669538394e-22,-2.0903662704995283e-03,4.4950673046283091e-06
8.0000000000000007e-05,8.9852781011592268e-04,-2.6841562147576713e-22,-1.9472573606412480e-03,4.4932662494133314e-06
1.6000000000000001e-04,8.8854784249023291e-04,-1.0462579573333249e-23,-1.6664600505812345e-03,4.2506854416472931e-06
3.2000000000000003e-04,7.8795150440863796e-04,3.6782893459047180e-24,-1.2041959255926851e-03,2.9680674389044790e-06
6.4000000000000005e-04,5.4367202992932425e-04,2.6625055273401174e-23,-6.9538181635596873e-04,1.2950550845612449e-06
1.2800000000000001e-03,2.8901366296898030e-04,-1.6966022366892980e-23,-3.2979087364503170e-04,3.8441448564225464e-07
2.5600000000000002e-03,1.2799124691642081e-04,1.7903381768182140e-23,-1.3703345893037528e-04,8.9682580820683243e-08
5.1200000000000004e-03,5.0932428001045737e-05,3.2304051131967023e-24,-5.2733100114454661e-05,1.8299417866559391e-08
1.0240000000000001e-02,1.9131993266795687e-05,-1.2530930267181279e-23,-1.9470953865217384e-05,3.4796522947877215e-09
2.0480000000000002e-02,6.9747273826546285e-06,-9.3786711419791177e-26,-7.0368268583441570e-06,6.3814621752057071e-10
4.0960000000000003e-02,2.5042488857853472e-06,2.2100152640134129e-24,-2.5154974793438261e-06,1.1490926676066870e-10
8.1920000000000007e-02,8.9225381922098973e-07,1.0235603777345722e-24,-8.9429105015910147e-07,2.0501561343036178e-11
1.6384000000000001e-01,3.1668176415857928e-07,3.5918991045969955e-25,-3.1705405610296256e-07,3.6409512714342672e-12
3.2768000000000003e-01,1.1218061315680684e-07,-1.8208529314808237e-25,-1.1225010979608509e-07,6.4511844924267545e-13
6.5536000000000005e-01,3.9700169582545363e-08,1.7022743271119947e-25,-3.9713658539878800e-08,1.1417280346003946e-13
1.0000000000000000e+00,2.1069619302160945e-08,4.6161019425820981e-26,-2.1074732162437125e-08,3.9713106644533203e-14
