time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0008427957589691917,-3.458627216600076e-05,nan,4.263523216325172e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0008346147564034848,-2.661545355147633e-05,-0.0021920870836808714,4.368210542118829e-06,5,4,32,9.6
1.25e-05,point,0.0,0.0008692696794304766,-3.631838092454769e-05,nan,4.474629411871604e-06,1,32,32,32.0
1.25e-05,disk_average,2.0,0.0008619679539173038,-2.716283762775367e-05,-0.002181242918801538,4.4800069268853555e-06,5,4,32,9.6
1.5625e-05,point,0.0,0.0008850965283210471,-3.788776487722311e-05,nan,4.598430191932353e-06,1,32,32,32.0
1.5625e-05,disk_average,2.0,0.0008784988768525978,-2.7933416427259353e-05,-0.0021672391221701564,4.549664506665504e-06,5,4,32,9.6
1.953125e-05,point,0.0,0.000894482137824675,-3.952533889071911e-05,nan,4.668611596260146e-06,1,32,32,32.0
1.953125e-05,disk_average,2.0,0.0008884701022993274,-2.900924140092417e-05,-0.0021492322811014772,4.591897712917159e-06,5,4,32,9.6
2.44140625e-05,point,0.0,0.0008998968790348382,-4.136486952159658e-05,nan,4.707073652360246e-06,1,32,32,32.0
2.44140625e-05,disk_average,2.0,0.000894403893614814,-3.0441117064786432e-05,-0.002126290651494727,4.616520405890072e-06,5,4,32,9.6
