time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0008766696564377676,-3.5680233785948564e-05,nan,4.5385247948378195e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0008693821529038076,-2.631846568254113e-05,-0.002193461897462184,4.5111518341846384e-06,5,4,32,9.6
1.25e-05,point,0.0,0.0008868146918317801,-3.6880875747022845e-05,nan,4.615101584963516e-06,1,32,32,32.0
1.25e-05,disk_average,2.0,0.0008800542412589065,-2.695554949048582e-05,-0.002182287417343958,4.556859911038347e-06,5,4,32,9.6
1.5625e-05,point,0.0,0.0008940787898307584,-3.8206588755314094e-05,nan,4.667770514546026e-06,1,32,32,32.0
1.5625e-05,disk_average,2.0,0.0008877961400134141,-2.781924669085135e-05,-0.002167918329512529,4.589929928256731e-06,5,4,32,9.6
1.953125e-05,point,0.0,0.0008991625271248389,-3.968815687377958e-05,nan,4.703068972768434e-06,1,32,32,32.0
1.953125e-05,disk_average,2.0,0.0008933255063519284,-2.8928212072695733e-05,-0.0021495704318807854,4.613216009408637e-06,5,4,32,9.6
2.44140625e-05,point,0.0,0.0009024711626955627,-4.13958213844432e-05,nan,4.72500533518154e-06,1,32,32,32.0
2.44140625e-05,disk_average,2.0,0.0008970733280344907,-3.0341767942500687e-05,-0.0021263513070994963,4.62838477242372e-06,5,4,32,9.6
3.0517578125e-05,point,0.0,0.000904098898129565,-4.348678051277797e-05,nan,4.735226679424311e-06,1,32,32,32.0
3.0517578125e-05,disk_average,2.0,0.0008991605323266256,-3.2197997118741135e-05,-0.0020972506177418648,4.6358041112019775e-06,5,4,32,9.6
3.814697265625e-05,point,0.0,0.0009039182470504835,-4.622934469764969e-05,nan,4.733649089403991e-06,1,32,32,32.0
3.814697265625e-05,disk_average,2.0,0.0008994749999377721,-3.4730543783126046e-05,-0.002061113482805005,4.63473199569342e-06,5,4,32,9.6
4.76837158203125e-05,point,0.0,0.0009017620443404768,-4.9990802553222644e-05,nan,4.719378727460668e-06,1,32,32,32.0
4.76837158203125e-05,disk_average,2.0,0.00089784457521731,-3.825475089496821e-05,-0.0020165958476920333,4.623725084880225e-06,5,4,32,9.6
5.9604644775390625e-05,point,0.0,0.0008976534981148373,-5.5170324090492245e-05,nan,4.691488626318228e-06,1,32,32,32.0
5.9604644775390625e-05,disk_average,2.0,0.0008942677995492836,-4.3109813927251264e-05,-0.0019621130128863514,4.601025023601231e-06,5,4,32,9.6
7.450580596923828e-05,point,0.0,0.0008919761459963601,-6.204196320079364e-05,nan,4.648664603934729e-06,1,32,32,32.0
7.450580596923828e-05,disk_average,2.0,0.0008890941331336529,-4.952735901278221e-05,-0.0018958096821870963,4.564187883780313e-06,5,4,32,9.6
9.313225746154785e-05,point,0.0,0.0008853914992232821,-7.048019667340439e-05,nan,4.586521438694862e-06,1,32,32,32.0
9.313225746154785e-05,disk_average,2.0,0.0008829579320839952,-5.7397858189172184e-05,-0.0018156063750382131,4.507770194978857e-06,5,4,32,9.6
0.00011641532182693481,point,0.0,0.0008783085479945621,-7.961490248142995e-05,nan,4.492928035722057e-06,1,32,32,32.0
0.00011641532182693481,disk_average,2.0,0.0008762629791159455,-6.596681999441515e-05,-0.0017194127604881725,4.4191894670456246e-06,5,4,32,9.6
0.00014551915228366852,point,0.0,0.0008699175725837853,-8.761583018568824e-05,nan,4.34505730189147e-06,1,32,32,32.0
0.00014551915228366852,disk_average,2.0,0.000868221173904066,-7.363135453339333e-05,-0.0016056092173447952,4.27601627455454e-06,5,4,32,9.6
0.00018189894035458565,point,0.0,0.0008572324681682468,-9.192990540743646e-05,nan,4.113326500659268e-06,1,32,32,32.0
0.00018189894035458565,disk_average,2.0,0.0008558848793338156,-7.813139855878602e-05,-0.0014738153639603268,4.049658012653348e-06,5,4,32,9.6
0.00022737367544323206,point,0.0,0.0008349465377034037,-9.017025496517808e-05,nan,3.773885954704987e-06,1,32,32,32.0
0.00022737367544323206,disk_average,2.0,0.0008339788869025014,-7.733391781581045e-05,-0.0013257605989263046,3.7171907216667202e-06,5,4,32,9.6
