time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0008766696564377676,-3.5680233785948564e-05,nan,4.5385247948378195e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0008693821529038076,-2.631846568254113e-05,-0.002193461897462184,4.5111518341846384e-06,5,4,32,9.6
1.25e-05,point,0.0,0.0008868146918317801,-3.6880875747022845e-05,nan,4.615101584963516e-06,1,32,32,32.0
1.25e-05,disk_average,2.0,0.0008800542412589065,-2.695554949048582e-05,-0.002182287417343958,4.556859911038347e-06,5,4,32,9.6
1.5625e-05,point,0.0,0.0008940787898307584,-3.8206588755314094e-05,nan,4.667770514546026e-06,1,32,32,32.0
1.5625e-05,disk_average,2.0,0.0008877961400134141,-2.781924669085135e-05,-0.002167918329512529,4.589929928256731e-06,5,4,32,9.6
1.953125e-05,point,0.0,0.0008991625271248389,-3.968815687377958e-05,nan,4.703068972768434e-06,1,32,32,32.0
1.953125e-05,disk_average,2.0,0.0008933255063519284,-2.8928212072695733e-05,-0.0021495704318807854,4.613216009408637e-06,5,4,32,9.6
2.44140625e-05,point,0.0,0.0009024711626955627,-4.13958213844432e-05,nan,4.72500533518154e-06,1,32,32,32.0
2.44140625e-05,disk_average,2.0,0.0008970733280344907,-3.0341767942500687e-05,-0.0021263513070994963,4.62838477242372e-06,5,4,32,9.6
