time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0009290926997752499,1.1997005514081493e-06,nan,4.2622135834182245e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0009208003708083456,1.3477526266538272e-05,-0.002201172722126487,4.366761242981092e-06,5,4,32,9.6
1.25e-05,point,0.0,0.0009558372917522776,-3.8207086984355525e-07,nan,4.473820888027826e-06,1,32,32,32.0
1.25e-05,disk_average,2.0,0.0009484199491639934,1.3086065235643608e-05,-0.0021904421217400468,4.478749179199871e-06,5,4,32,9.6
1.5625e-05,point,0.0,0.0009718899396463828,-1.8490379376816852e-06,nan,4.59725058238077e-06,1,32,32,32.0
1.5625e-05,disk_average,2.0,0.0009651714585555691,1.2425981023179064e-05,-0.0021765921068000317,4.5479897735630655e-06,5,4,32,9.6
1.953125e-05,point,0.0,0.0009814819952310926,-3.446809677242724e-06,nan,4.666330983390446e-06,1,32,32,32.0
1.953125e-05,disk_average,2.0,0.0009753431692629724,1.140217700992461e-05,-0.0021587889238273406,4.589245177909823e-06,5,4,32,9.6
2.44140625e-05,point,0.0,0.0009871048482540375,-5.325293501103567e-06,nan,4.703164042616348e-06,1,32,32,32.0
2.44140625e-05,disk_average,2.0,0.0009814785157195288,9.949271076579799e-06,-0.0021361149260030903,4.612444835210687e-06,5,4,32,9.6
