time_obs,receiver_type,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,point,Ex,0.0009290926997752499,0.000895504944529561,3.3587755245688866e-05,0.03750705727630979,0.03750705727630979,0.03744073794989456,True
1e-05,point,Ey,1.1997005514081493e-06,1.5162385615708813e-21,1.1997005514081478e-06,791234692095689.8,119970055.14081478,119970055.14081478,False
1e-05,point,dBzdt,4.2622135834182245e-06,4.4881196059095085e-06,2.2590602249128404e-07,0.05033422509369704,0.05033422509369704,0.050279632684478645,False
1e-05,disk_average,Ex,0.0009208003708083456,0.000895504944529561,2.5295426278784563e-05,0.02824710955903555,0.02824710955903555,0.0281971635111403,True
1e-05,disk_average,Ey,1.3477526266538272e-05,1.5162385615708813e-21,1.347752626653827e-05,8888790067820882.0,1347752626.653827,1347752626.653827,False
1e-05,disk_average,Hz,-0.002201172722126487,-0.0021976168597438715,3.5558623826155433e-06,0.0016180538326548755,0.0016180538326548755,0.0016180538326548755,True
1e-05,disk_average,dBzdt,4.366761242981092e-06,4.4881196059095085e-06,1.2135836292841647e-07,0.027039912833121443,0.027039912833121443,0.027010585392719458,True
1.25e-05,point,Ex,0.0009558372917522776,0.0008960114369673489,5.9825854784928715e-05,0.06676907494330209,0.06676907494330209,0.06668871245625936,False
1.25e-05,point,Ey,-3.8207086984355525e-07,-2.101350461691214e-21,3.8207086984355313e-07,181821584171187.66,38207086.984355316,38207086.984355316,False
1.25e-05,point,dBzdt,4.473820888027826e-06,4.4897427701496744e-06,1.5921882121848757e-08,0.0035462793609705996,0.0035462793609705996,0.003543714221974803,True
1.25e-05,disk_average,Ex,0.0009484199491639934,0.0008960114369673489,5.240851219664457e-05,0.05849089647117347,0.05849089647117347,0.058420497504080175,False
1.25e-05,disk_average,Ey,1.3086065235643608e-05,-2.101350461691214e-21,1.308606523564361e-05,6227454903030145.0,1308606523.5643609,1308606523.5643609,False
1.25e-05,disk_average,Hz,-0.0021904421217400468,-0.002188686967160658,1.7551545793887714e-06,0.0008019212458078005,0.0008019212458078005,0.0007986626839008378,True
