time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0009297813732212835,1.0936079878665304e-06,nan,4.267059510276727e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0009215322803511042,1.3414484817748763e-05,-0.002200052766755652,4.369773695515349e-06,5,4,32,9.6
1.25e-05,point,0.0,0.0009562904068404775,-4.835428416510764e-07,nan,4.476859930824442e-06,1,32,32,32.0
1.25e-05,disk_average,2.0,0.0009489070200083702,1.3016495495962014e-05,-0.0021893000255838145,4.480698118380087e-06,5,4,32,9.6
1.5625e-05,point,0.0,0.0009721783704659877,-1.9456260451415464e-06,nan,4.599063587757483e-06,1,32,32,32.0
1.5625e-05,disk_average,2.0,0.0009654868534944502,1.2352467012671898e-05,-0.002175431962410245,4.549188113479107e-06,5,4,32,9.6
1.953125e-05,point,0.0,0.0009816540206763042,-3.5399622882117807e-06,nan,4.667314054546662e-06,1,32,32,32.0
1.953125e-05,disk_average,2.0,0.0009755372927685863,1.1325337469191305e-05,-0.002157617017844748,4.589911999981193e-06,5,4,32,9.6
2.44140625e-05,point,0.0,0.0009871905182498623,-5.418471996851319e-06,nan,4.703571472720378e-06,1,32,32,32.0
2.44140625e-05,disk_average,2.0,0.0009815834984040798,9.867780252665972e-06,-0.0021349390983835285,4.612724705505536e-06,5,4,32,9.6
