time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt
1e-05,point,0.0,0.0006479901309199511,-5.150102111501422e-05,-0.002111454887705814,2.1056826755123355e-06
1e-05,disk_average,2.0,0.0006467738398720059,-5.793007282916506e-05,nan,2.7686655055423115e-06
1.25e-05,point,0.0,0.0007028922989167191,-4.6171588109075276e-05,-0.0021051607716201905,2.3449080710285598e-06
1.25e-05,disk_average,2.0,0.0007082166964705002,-5.393335074447226e-05,nan,3.045382526869549e-06
1.5625e-05,point,0.0,0.0007600847113371455,-4.233206613261174e-05,-0.0020964893606728622,2.6410759261492033e-06
1.5625e-05,disk_average,2.0,0.0007712907893616535,-5.0768861844559903e-05,nan,3.3380786994046507e-06
1.953125e-05,point,0.0,0.0008165640997154443,-3.961399361863022e-05,-0.0020847880533705954,3.1378645863781326e-06
1.953125e-05,disk_average,2.0,0.0008328746504741075,-4.825626377448441e-05,nan,3.6708286073727265e-06
2.44140625e-05,point,0.0,0.0008690154240747647,-3.828515801844263e-05,-0.002069233260159127,3.6683783194333354e-06
2.44140625e-05,disk_average,2.0,0.0008894416470524469,-4.644688312393225e-05,nan,4.003876518036279e-06
