candidate_id,K,template_family,offsets_log10_tau,span,shift,time_window_anchor,candidate_hash
K04_cc_span4.0_shift-0.5_dens1.00,4,cole_cole_tau_centered,-2.000000000000;-0.666666666667;0.666666666667;2.000000000000,4.000000,-0.500000,3.162277660168e-03,32540a42e9ae33fb3fcad7608a87af12cf0e5b3859190740353a391c7f965035
K04_cc_span4.0_shift-0.5_dens1.25,4,cole_cole_tau_centered,-2.000000000000;-0.506557123768;0.506557123768;2.000000000000,4.000000,-0.500000,3.162277660168e-03,85608955a594966b75050ce40fd27f1c0e026403a42f34f5d5e1c50a65a84877
K04_cc_span4.0_shift+0.0_dens1.00,4,cole_cole_tau_centered,-2.000000000000;-0.666666666667;0.666666666667;2.000000000000,4.000000,0.000000,3.162277660168e-03,428499115431ff18cfd21b8b999102594317d0b0e2530114827a05070912ac0c
K04_cc_span4.0_shift+0.0_dens1.25,4,cole_cole_tau_centered,-2.000000000000;-0.506557123768;0.506557123768;2.000000000000,4.000000,0.000000,3.162277660168e-03,d15b61a66ddb3788003c7acbf5a73fb122c2c7d6d156cfc681e51a66ee4aea32
K04_cc_span4.0_shift+0.5_dens1.00,4,cole_cole_tau_centered,-2.000000000000;-0.666666666667;0.666666666667;2.000000000000,4.000000,0.500000,3.162277660168e-03,db410a7f27b234996d71f5e91689334bbbe7932e4247626e3f9d6a70ba6bd5bc
K04_cc_span4.0_shift+0.5_dens1.25,4,cole_cole_tau_centered,-2.000000000000;-0.506557123768;0.506557123768;2.000000000000,4.000000,0.500000,3.162277660168e-03,4337189bc702af36e552c93087b05f8a73e0f14800e4a4be3fc9f214f873be16
K04_cc_span6.0_shift-0.5_dens1.00,4,cole_cole_tau_centered,-3.000000000000;-1.000000000000;1.000000000000;3.000000000000,6.000000,-0.500000,3.162277660168e-03,bdaa8b02f9cdab625ff957be0e94bb2580e12b539df88105864373277ce9e895
K04_cc_span6.0_shift-0.5_dens1.25,4,cole_cole_tau_centered,-3.000000000000;-0.759835685652;0.759835685652;3.000000000000,6.000000,-0.500000,3.162277660168e-03,a76f93213b01e1a82d58c66b2237d35910358731772d3e31587089c6b455c81d
K04_cc_span6.0_shift+0.0_dens1.00,4,cole_cole_tau_centered,-3.000000000000;-1.000000000000;1.000000000000;3.000000000000,6.000000,0.000000,3.162277660168e-03,006c751217df95b13e2b4cad1df58b57e1bb7e3aff0eb1b79dc6754cd031f173
K04_cc_span6.0_shift+0.0_dens1.25,4,cole_cole_tau_centered,-3.000000000000;-0.759835685652;0.759835685652;3.000000000000,6.000000,0.000000,3.162277660168e-03,02cf9d3dd3066c10fa8f4afd6e1135172dab41c2e4fffa8a08114d789396ad93
K04_cc_span6.0_shift+0.5_dens1.00,4,cole_cole_tau_centered,-3.000000000000;-1.000000000000;1.000000000000;3.000000000000,6.000000,0.500000,3.162277660168e-03,eb07323d5d98337573318d32657c27e65e2ccbe04ae5ba852bb6d67b07935be8
K04_cc_span6.0_shift+0.5_dens1.25,4,cole_cole_tau_centered,-3.000000000000;-0.759835685652;0.759835685652;3.000000000000,6.000000,0.500000,3.162277660168e-03,4c240473a01d0d81f621f1d707760b5a6eb6094eca17c1f5ad25e59ac3e09326
K04_cc_span8.0_shift-0.5_dens1.00,4,cole_cole_tau_centered,-4.000000000000;-1.333333333333;1.333333333333;4.000000000000,8.000000,-0.500000,3.162277660168e-03,a2309c92e3538f6ddb7c6d3edb5cd598bcacfc47e320a825022b5d682c48dc1a
K04_cc_span8.0_shift-0.5_dens1.25,4,cole_cole_tau_centered,-4.000000000000;-1.013114247535;1.013114247535;4.000000000000,8.000000,-0.500000,3.162277660168e-03,dc7b26e8d64a7345ee2ea6aad9caecb2449363976b5bc0de39b1507c27183b89
