case_id,split,split_index,split_seed,family,n_earth_layers,polarizable_layer_index,rho_air,rho1,rho2,rho3,thickness1,thickness2,m,tau,c,src_x0,src_y0,src_z0,src_x1,src_y1,src_z1,src_azimuth_deg,src_length,src_current,n_receivers,rx1_x,rx1_y,rx1_z,rx2_x,rx2_y,rx2_z,sensor_frame,sensor_normal_x,sensor_normal_y,sensor_normal_z,waveform_set,disk_radii,t_min,t_max,n_times,case_hash
PG01,pilot_gap,1,202609111,2L_cover,2,1,1.000000e+08,241.43429,82.916064,,65.078421,,0.36255193,9.992288700701e-02,0.35336691,-45.519522,-62.564051,0.05,-1.5709468,162.87178,0.05,78.968585,229.67975,1,2,-292.12191,536.86397,0,442.45657,464.94928,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,bcd1903eef5fd600e56c063aeadb50b05a11c874b08b160c762e59299648907b
PG02,pilot_gap,2,202609111,2L_basement,2,2,1.000000e+08,202.38148,36.255267,,80.113477,,0.24164308,6.333929064594e-04,0.38943244,-47.367002,-173.75063,0.05,62.693064,297.78774,0.05,76.862008,484.2124,1,2,-170.89375,680.31461,0,-217.66828,416.43449,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,29251a886a27e4b66bf81266d7bd13f1de37d0c9e5c01460254881a7339aa5ca
PG03,pilot_gap,3,202609111,3L_middle,3,2,1.000000e+08,104.74449,359.39743,60.531935,63.486579,170.17513,0.319178,1.475454297903e-04,0.46087241,-94.091324,-170.63043,0.05,125.86929,96.168876,0.05,50.496388,345.78106,1,2,-314.19443,480.31755,0,-872.75524,87.467666,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,0ec173c868047b5f91afadd11644cabe17403564ea5a14637cdc604ea78d2efe
PG04,pilot_gap,4,202609111,3L_basement,3,3,1.000000e+08,60.851574,237.16063,30.246489,66.555052,244.3413,0.37248714,5.585934243116e-02,0.53953132,-187.35852,-6.8940224,0.05,250.5704,103.50235,0.05,14.148753,451.62938,1,2,9.2365045,-643.74336,0,801.25489,-454.64262,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,d68e459e67c80497956af4e22359d424810c915b1c7e1f84d914c7d3cce702b9
PG05,pilot_gap,5,202609111,2L_cover,2,1,1.000000e+08,216.47928,39.1269,,190.21122,,0.32455148,5.178645918240e-04,0.69330383,-64.43426,-123.94866,0.05,82.914161,132.58683,0.05,60.127875,295.8412,1,2,430.42193,-432.24272,0,-470.06072,-383.17736,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,d5a3f157a5eebd182fff48980aa99dbc1cff0c2c0b2f7ce6f21135fd61609555
PG06,pilot_gap,6,202609111,3L_cover,3,1,1.000000e+08,109.54241,22.968032,125.03127,72.999719,196.00481,0.24451451,3.311311777041e-03,0.64062271,-88.019888,-67.594907,0.05,83.24524,132.08678,0.05,49.380615,263.06752,1,2,80.687552,635.54015,0,-996.15266,74.761352,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,367ca1d8911d32c5abc9a378543c6e0067504f8833447e4c54321f79ffd062b7
PG07,pilot_gap,7,202609111,3L_middle,3,2,1.000000e+08,287.33965,75.635344,319.41969,60.700204,63.488803,0.058753208,8.076870374800e-02,0.74019843,-43.165472,-96.332264,0.05,118.8354,27.398914,0.05,37.371455,203.84721,1,2,767.81051,-101.25324,0,140.53794,-705.43048,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,2c57214acaf5598c25c31e0dd03739517a29dc268e533bb65f73b7ddd132dafe
PG08,pilot_gap,8,202609111,2L_basement,2,2,1.000000e+08,100.71064,21.611595,,67.385593,,0.3403251,3.082649807777e-03,0.73043212,-68.009335,-135.59317,0.05,204.6567,86.451552,0.05,39.15754,351.63991,1,2,-263.82379,-846.47803,0,-479.2028,-273.40684,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,6b22a77ee5916ec52daa9db9722b13d9d0e6991bdca3755501a2e4fbdc5595db
TR01,train,1,202609112,2L_cover,2,1,1.000000e+08,131.43047,279.30417,,160.98703,,0.37721793,4.066256071589e-03,0.81421088,-80.344931,-113.65608,0.05,156.42481,163.08186,0.05,49.45057,364.20297,1,2,132.71652,-464.13871,0,382.92241,747.00724,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b
TR02,train,2,202609112,2L_basement,2,2,1.000000e+08,25.833095,95.265609,,33.883285,,0.24609369,1.975981024232e-03,0.47487088,-260.281,-107.07258,0.05,130.85497,123.46555,0.05,30.51538,454.02112,1,2,891.55321,253.70307,0,-142.0658,-655.40934,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,997f8e3f59b42100a7eb274535485081ccfdad4306dbddf605d35c0fc5e8f886
