K,case_id,e_b2,e_or,gap,ids_differ,ip_b2,ip_or,log_hausdorff,oracle_id,qualifies_b2,qualifies_or,ratio,spectral_id
4,PG01,0.009930085808410198,0.016478809666420582,-0.6594831086418207,True,0.06419805943996,0.019222353349062044,0.5,K04_tw_span4.0_shift+0.0_dens1.25,False,False,1.6594831086418207,K04_tw_span4.0_shift+0.5_dens1.25
6,PG01,0.006853892494100225,0.005895127826484164,0.13988615497563717,True,0.019368811538370466,0.028949520329381993,0.21579887377200002,K06_tw_span6.0_shift+0.5_dens1.25,True,True,0.8601138450243628,K06_tw_span6.0_shift+0.5_dens1.00
8,PG01,0.0016108959068710908,0.0016108959068710908,0.0,False,0.007255314932089853,0.007255314932089853,0.0,K08_tw_span6.0_shift+0.5_dens1.25,True,True,1.0,K08_tw_span6.0_shift+0.5_dens1.25
10,PG01,0.0011744209476645172,0.001084524143223404,0.07654564116885365,True,0.002942311208707047,0.0029556063697955917,0.24016431434800012,K10_tw_span6.0_shift+0.5_dens1.25,True,True,0.9234543588311463,K10_tw_span6.0_shift+0.5_dens1.00
12,PG01,0.0006732593005641658,0.0006732593005641658,0.0,False,0.0028007251171715927,0.0028007251171715927,0.0,K12_tw_span6.0_shift+0.5_dens1.00,True,True,1.0,K12_tw_span6.0_shift+0.5_dens1.00
4,PG02,0.014391351095341457,0.010675636876761027,0.2581907837536688,True,0.033079872748037815,0.02567054131712335,0.30167319528000025,K04_cc_span4.0_shift+0.0_dens1.25,False,False,0.7418092162463312,K04_tw_span4.0_shift+0.0_dens1.25
6,PG02,0.003339587224126578,0.003339587224126578,0.0,False,0.018781000549362752,0.018781000549362752,0.0,K06_cc_span4.0_shift+0.0_dens1.25,True,True,1.0,K06_cc_span4.0_shift+0.0_dens1.25
8,PG02,0.002401320364119197,0.0023694202136553006,0.01328442091299098,True,0.0039739890979879925,0.004598565192540732,0.1983268047200002,K08_tw_span6.0_shift+0.5_dens1.25,True,True,0.986715579087009,K08_cc_span6.0_shift+0.0_dens1.25
10,PG02,0.0006306995561944536,0.0006278732223106894,0.004481268229865054,True,0.00142430491588753,0.0014766487292622887,0.1983268047200002,K10_tw_span6.0_shift+0.5_dens1.25,True,True,0.995518731770135,K10_cc_span6.0_shift+0.0_dens1.25
12,PG02,0.00028814275766974034,0.00021413276242813475,0.2568518321964329,True,0.0010351645594050027,0.0023768532690418578,0.30167319528000025,K12_cc_span6.0_shift+0.5_dens1.00,True,True,0.7431481678035671,K12_tw_span6.0_shift+0.5_dens1.25
4,PG03,0.006432128938660846,0.006432128938660846,0.0,False,0.018602829290604812,0.018602829290604812,0.0,K04_cc_span4.0_shift+0.0_dens1.25,True,True,1.0,K04_cc_span4.0_shift+0.0_dens1.25
6,PG03,0.002979815634897638,0.0024476546267746275,0.17858856832976222,True,0.009834603744365707,0.005498374886636635,0.3310742381980005,K06_cc_span4.0_shift+0.0_dens1.00,True,True,0.8214114316702378,K06_tw_span4.0_shift+0.0_dens1.00
8,PG03,0.0006332411023545583,0.0006332411023545583,0.0,False,0.005982997118851465,0.005982997118851465,0.0,K08_tw_span4.0_shift+0.0_dens1.00,True,True,1.0,K08_tw_span4.0_shift+0.0_dens1.00
10,PG03,0.000610643008317586,0.00030179743732991346,0.5057710753760841,True,0.0017862557253961774,0.004863098505281489,1.0,K10_tw_span4.0_shift+0.0_dens1.00,True,True,0.4942289246239159,K10_tw_span6.0_shift+0.0_dens1.25
12,PG03,0.00017996472051705733,0.00016637513461782716,0.07551249967319085,True,0.00040372663857397286,0.0005411720600575735,0.1689257618020008,K12_tw_span6.0_shift+0.0_dens1.25,True,True,0.9244875003268092,K12_cc_span6.0_shift+0.5_dens1.25
4,PG04,0.008945117030793592,0.00424793944933002,0.5251108023845328,True,0.02049988374661423,0.01541921719663542,1.7470958189369998,K04_cc_span4.0_shift+0.0_dens1.00,True,True,0.4748891976154673,K04_tw_span4.0_shift+0.5_dens1.00
6,PG04,0.002587290275660401,0.0008342169473545381,0.6775711812461376,True,0.00861067750264337,0.0049692065629325,1.247095818937,K06_cc_span4.0_shift-0.5_dens1.00,True,True,0.32242881875386237,K06_tw_span4.0_shift+0.5_dens1.25
8,PG04,0.0011781198474976368,0.00034103446771951827,0.7105265067523596,True,0.001995467080084211,0.0008634957257795344,1.247095818937,K08_tw_span6.0_shift+0.5_dens1.25,True,True,0.2894734932476404,K08_cc_span6.0_shift-0.5_dens1.25
10,PG04,0.00036016653316780595,0.0001077571690957614,0.7008129318735008,True,0.0009176967321131682,0.00040893315170297293,1.247095818937,K10_cc_span6.0_shift-0.5_dens1.00,True,True,0.29918706812649926,K10_tw_span6.0_shift+0.5_dens1.00
12,PG04,0.00030364686343353124,4.84659394808181e-05,0.8403871558797531,True,0.0008249928430985717,0.0003807019647948318,1.247095818937,K12_cc_span6.0_shift-0.5_dens1.25,True,True,0.15961284412024684,K12_tw_span6.0_shift+0.5_dens1.00
4,PG05,0.042882989683974575,0.03976644263052888,0.07267560112793059,True,0.030774793625192035,0.030666780243590142,0.5000000000000004,K04_cc_span4.0_shift-0.5_dens1.25,False,False,0.9273243988720694,K04_cc_span4.0_shift+0.0_dens1.25
6,PG05,0.00949532819845498,0.009064434748173774,0.04537952151578273,True,0.007786882230419996,0.00935433858899124,0.28578378216800004,K06_cc_span4.0_shift-0.5_dens1.25,True,True,0.9546204784842173,K06_tw_span4.0_shift+0.0_dens1.25
8,PG05,0.002423643084289667,0.002052494500371822,0.15313665049267067,True,0.003910175939694556,0.0016470497260835848,0.5,K08_cc_span4.0_shift-0.5_dens1.25,True,True,0.8468633495073293,K08_cc_span4.0_shift+0.0_dens1.25
10,PG05,0.0037805777196961584,0.00041431611212162787,0.8904093123219998,True,0.0018166880336756954,0.0014485274797387297,1.0,K10_tw_span4.0_shift+0.0_dens1.00,True,True,0.1095906876780002,K10_tw_span6.0_shift+0.0_dens1.25
12,PG05,0.0017041153773723868,0.0002690517558975419,0.8421164673061053,True,0.0005400578125889631,0.0011361242907859505,1.5,K12_tw_span4.0_shift+0.0_dens1.00,True,True,0.15788353269389468,K12_tw_span6.0_shift+0.5_dens1.25
4,PG06,0.005868590856899634,0.004316789393053546,0.264424885238277,True,0.03582707425297422,0.013849330524190588,0.5200000737370001,K04_tw_span4.0_shift+0.5_dens1.25,False,True,0.735575114761723,K04_cc_span4.0_shift+0.0_dens1.25
6,PG06,0.0016748618804868626,0.0012871955447739385,0.2314616746786512,True,0.010407325614009729,0.004862620690836018,0.5,K06_cc_span4.0_shift-0.5_dens1.00,True,True,0.7685383253213488,K06_cc_span4.0_shift+0.0_dens1.25
8,PG06,0.0014917108678490013,0.0004085145080108301,0.7261436402887547,True,0.01148499794711782,0.004750948788413868,0.5200000737370001,K08_tw_span4.0_shift+0.5_dens1.25,True,True,0.2738563597112454,K08_cc_span4.0_shift+0.0_dens1.25
10,PG06,0.00038019743293592033,0.0003314529873445909,0.12820824489771077,True,0.0011170722539082425,0.0008602181017174597,1.020000073737,K10_tw_span6.0_shift+0.0_dens1.25,True,True,0.8717917551022892,K10_cc_span6.0_shift+0.0_dens1.25
12,PG06,9.467594056256004e-05,8.172542693377831e-05,0.1367878000665257,True,0.0008466830153612082,0.0005970574126166445,0.5,K12_cc_span6.0_shift-0.5_dens1.25,True,True,0.8632121999334743,K12_cc_span6.0_shift+0.0_dens1.25
4,PG07,0.0007102760292705897,0.0006199975933269996,0.1271033122662193,True,0.0010296166638783465,0.002040623526403771,0.5000000000000002,K04_cc_span4.0_shift+0.0_dens1.25,True,True,0.8728966877337807,K04_cc_span4.0_shift-0.5_dens1.25
6,PG07,0.000466491347171609,0.0001397149045634051,0.7004984006444863,True,0.0015222999429567409,0.0010205951016019636,0.14386591584800001,K06_cc_span4.0_shift-0.5_dens1.00,True,True,0.29950159935551374,K06_cc_span4.0_shift-0.5_dens1.25
8,PG07,0.00010946225325997528,9.585447817817815e-05,0.12431477223000664,True,0.0010642436544365615,0.0003552679424502278,2.907243112972,K08_tw_span6.0_shift+0.0_dens1.00,True,True,0.8756852277699934,K08_cc_span4.0_shift-0.5_dens1.00
10,PG07,7.079961609578863e-05,2.2764956991618997e-05,0.6784593159259641,True,0.0004901675490148766,0.0001252428657818099,0.5,K10_cc_span6.0_shift-0.5_dens1.00,True,True,0.3215406840740359,K10_cc_span6.0_shift+0.0_dens1.25
12,PG07,2.137758704003933e-05,1.5165074703823298e-05,0.2906086792948266,True,0.00011007044142519695,3.616659463752359e-05,2.907243112972,K12_tw_span8.0_shift+0.0_dens1.25,True,True,0.7093913207051734,K12_cc_span6.0_shift-0.5_dens1.25
4,PG08,0.015752861669886143,0.015752861669886143,0.0,False,0.029501132344940652,0.029501132344940652,0.0,K04_cc_span4.0_shift-0.5_dens1.25,False,False,1.0,K04_cc_span4.0_shift-0.5_dens1.25
6,PG08,0.003890081474835846,0.004397513348575383,-0.13044247968121292,True,0.006681934449560099,0.007294468730953157,0.4889241912240001,K06_cc_span4.0_shift+0.0_dens1.25,False,False,1.130442479681213,K06_tw_span4.0_shift+0.5_dens1.25
8,PG08,0.0007112177793731642,0.0008491005939226965,-0.19386862723124842,True,0.0009315672317891469,0.0020668256591969154,0.4889241912240001,K08_cc_span4.0_shift+0.0_dens1.25,False,False,1.1938686272312484,K08_tw_span4.0_shift+0.5_dens1.25
10,PG08,0.00020758805957137315,0.00020590998791171844,0.008083661763203409,True,0.0006581005036885681,0.0006667603830640524,0.01107580877600034,K10_cc_span4.0_shift-0.5_dens1.00,True,True,0.9919163382367966,K10_tw_span4.0_shift+0.5_dens1.00
12,PG08,0.00015806626162164896,0.00015506442007450524,0.018991032724801182,True,0.0006989734148717788,0.000677231125392474,0.01107580877600034,K12_tw_span4.0_shift+0.5_dens1.00,True,True,0.9810089672751988,K12_cc_span4.0_shift-0.5_dens1.00
