split,case_id,case_hash,K,candidate_id,receiver_scope,official_variant,valid,n_tasks,total_p95,ip_increment_nrmse_p95,fail_rate,qualifies_point,spectral_error,spectral_error_s0,spectral_error_s1,condition_number,relative_dc_error,optimizer_success
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span4.0_shift+0.0_dens1.00,point,S1,True,6,0.22230885525360383,0.09284619358367172,1.0,False,0.03806722267191237,0.03390468365728848,0.03806722267191237,6.499147080970361,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span4.0_shift+0.0_dens1.25,point,S1,True,6,0.11797833948898348,0.03410666247771732,1.0,False,0.016480562204849877,0.01448792562210526,0.016480562204849877,7.128758702089837,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span4.0_shift+0.5_dens1.00,point,S1,True,6,0.11144656158636013,0.03852105978461531,1.0,False,0.01648387141282432,0.013799764646433727,0.01648387141282432,6.062413082207041,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span4.0_shift+0.5_dens1.25,point,S1,True,6,0.21298335247816616,0.080929091537928,1.0,False,0.033236036478353805,0.027745578924252893,0.033236036478353805,6.611494581413142,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span4.0_shift-0.5_dens1.00,point,S1,True,6,0.22024029254238742,0.10080203987756436,1.0,False,0.04089032446372138,0.03416637362440746,0.04089032446372138,7.03916826053878,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span4.0_shift-0.5_dens1.25,point,S1,True,6,0.11945731934305338,0.04172531869170112,1.0,False,0.017562032516795733,0.014673988358481263,0.017562032516795733,7.708873035825539,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span6.0_shift+0.0_dens1.00,point,S1,True,6,0.45667249162234863,0.23737224777857943,1.0,False,0.08237180901487103,0.07716872654505211,0.08237180901487103,5.317820738538156,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span6.0_shift+0.0_dens1.25,point,S1,True,6,0.285397684243355,0.13449812483968387,1.0,False,0.05133423082590238,0.04629564579796124,0.05133423082590238,5.385757193676094,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span6.0_shift+0.5_dens1.00,point,S1,True,6,0.23713998901787242,0.09595912162934815,1.0,False,0.03332363717631452,0.036248680810404374,0.03332363717631452,7.24635154576138,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span6.0_shift+0.5_dens1.25,point,S1,True,6,0.09644491102716149,0.04262121615943564,1.0,False,0.01932156271454885,0.017299355566554132,0.01932156271454885,7.153914456997204,2.2799552555225586e-16,True
